area,단지수,분양률,입주업체,누계생산,누계수출
서울,3,90.2,9574,13242025,2270330
부산,33,97.5,8463,36932065,8858446
인천,13,95.8,10115,39748870,6092060
대구,20,95,9109,27208526,6232282
광주,11,98.2,2820,26319620,8874203
대전,4,99.2,1508,15534145,4025105
울산,26,99.5,1805,142574740,59098333
세종,14,94.2,136,4214041,426560
경기,159,96.6,27287,199444769,70713413
강원,71,84,1480,7304592,1904675
충북,114,92.1,1747,39999758,14900698
충남,150,88.8,2536,126186711,58344705
전북,85,88.7,2739,37678668,11653681
전남,105,91.7,2411,94658528,41317065
경북,147,96.5,4987,80893997,39070763
경남,201,96.9,5765,90936857,34891249
제주,6,100,119,1833417,16104